id,text,upos,xpos,feats,head,deprel,span,lemma,expanded
49,דמויי,ADJ,ADJ,Definite=Cons|Gender=Masc|Number=Plur,48.0,amod,"(215, 220)",דמויי,
50,גומי,NOUN,NOUN,Gender=Masc|Number=Sing,49.0,compound:smixut,"(221, 225)",גומי,
"(51, 52)",בעזרת,,,,,,"(226, 231)",,"[{'id': 51, 'text': 'ב', 'upos': 'ADP', 'xpos': 'ADP', 'head': 52, 'deprel': 'case', 'lemma': 'ב'}, {'id': 52, 'text': 'עזרת', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Definite=Cons|Gender=Fem|Number=Sing', 'head': 47, 'deprel': 'nmod', 'lemma': 'עזרה'}]"
53,ניסוי,NOUN,NOUN,Gender=Masc|Number=Sing,52.0,compound:smixut,"(232, 237)",ניסוי,
54,דו ציר,NOUN,NOUN,Gender=Masc|Number=Sing,53.0,amod,"(238, 244)",דו ציר,
"(55, 56)",מסוג,,,,,,"(245, 249)",,"[{'id': 55, 'text': 'מ', 'upos': 'ADP', 'xpos': 'ADP', 'head': 56, 'deprel': 'case', 'lemma': 'מ'}, {'id': 56, 'text': 'סוג', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Definite=Cons|Gender=Masc|Number=Sing', 'head': 53, 'deprel': 'nmod', 'lemma': 'סוג'}]"
57,"""",PUNCT,PUNCT,,58.0,punct,"(250, 251)","""",
58,ניפוח,NOUN,NOUN,Definite=Cons|Gender=Masc|Number=Sing,56.0,compound:smixut,"(251, 256)",ניפוח,
59,בלון,NOUN,NOUN,Gender=Masc|Number=Sing,58.0,compound:smixut,"(257, 261)",בלון,
60,"""",PUNCT,PUNCT,,58.0,punct,"(261, 262)","""",
61,(,PUNCT,PUNCT,,62.0,punct,"(263, 264)",(,
62,Bulge,PROPN,PROPN,,58.0,appos,"(264, 269)",Bulge,
63,Test,NOUN,NOUN,Gender=Masc|Number=Sing,62.0,nmod,"(270, 274)",Test,
64,),PUNCT,PUNCT,,62.0,punct,"(274, 275)",),
