title,stem,txt,conllu,jsonl,word_count
אלמנטי חיבור והקשחה במבני פלדה דוח מס 1 מחבר קורה עמוד ואלכסון,223 אלמנטי חיבור והקשחה במבני פלדה דוח מס 1 מחבר קורה עמוד ואלכסון,txt\__parsed__\223 אלמנטי חיבור והקשחה במבני פלדה דוח מס 1 מחבר קורה עמוד ואלכסון.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\223 אלמנטי חיבור והקשחה במבני פלדה דוח מס 1 מחבר קורה עמוד ואלכסון.conllu,4301.0
תשתית לתקינה בתחום הניהול של עבודות אחזקה שלב א,226 תשתית לתקינה בתחום הניהול של עבודות אחזקה שלב א,txt\__parsed__\226 תשתית לתקינה בתחום הניהול של עבודות אחזקה שלב א.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\226 תשתית לתקינה בתחום הניהול של עבודות אחזקה שלב א.conllu,6491.0
חקר רעש אינסטלצית מים,230 חקר רעש אינסטלצית מים,txt\__parsed__\230 חקר רעש אינסטלצית מים.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\230 חקר רעש אינסטלצית מים.conllu,4927.0
תיעוש עבודות אינסטלציה שלב ב',231 תיעוש עבודות אינסטלציה שלב ב',txt\__parsed__\231 תיעוש עבודות אינסטלציה שלב ב'.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\231 תיעוש עבודות אינסטלציה שלב ב'.conllu,6326.0
סקר ובחינה השוואתית של צנרת אינסטלציה סניטרית במבנה מגורים,233 סקר ובחינה השוואתית של צנרת אינסטלציה סניטרית במבנה מגורים,txt\__parsed__\233 סקר ובחינה השוואתית של צנרת אינסטלציה סניטרית במבנה מגורים.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\233 סקר ובחינה השוואתית של צנרת אינסטלציה סניטרית במבנה מגורים.conllu,11090.0
בחינת צרכי הכשרת כח אדם בתחום הנדסת מערכות תברואה,237 בחינת צרכי הכשרת כח אדם בתחום הנדסת מערכות תברואה,txt\__parsed__\237 בחינת צרכי הכשרת כח אדם בתחום הנדסת מערכות תברואה.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\237 בחינת צרכי הכשרת כח אדם בתחום הנדסת מערכות תברואה.conllu,8305.0
הערכת איכות התפקוד בפועל של מחיצות וחיפויי גבס בבנייני מגורים,238 הערכת איכות התפקוד בפועל של מחיצות וחיפויי גבס בבנייני מגורים,txt\__parsed__\238 הערכת איכות התפקוד בפועל של מחיצות וחיפויי גבס בבנייני מגורים.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\238 הערכת איכות התפקוד בפועל של מחיצות וחיפויי גבס בבנייני מגורים.conllu,6910.0
התנהגות מובל תת קרקעי דוח מסכם שלב ב,239 התנהגות מובל תת קרקעי דוח מסכם שלב ב,txt\__parsed__\239 התנהגות מובל תת קרקעי דוח מסכם שלב ב.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\239 התנהגות מובל תת קרקעי דוח מסכם שלב ב.conllu,3761.0
מערכת אוטומטית לתכן ראשוני של מבנה,240 מערכת אוטומטית לתכן ראשוני של מבנה,txt\__parsed__\240 מערכת אוטומטית לתכן ראשוני של מבנה.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\240 מערכת אוטומטית לתכן ראשוני של מבנה.conllu,5984.0
התנהגות מבנה מתקרות שטוחות ברעידות אדמה,243 התנהגות מבנה מתקרות שטוחות ברעידות אדמה,txt\__parsed__\243 התנהגות מבנה מתקרות שטוחות ברעידות אדמה.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\243 התנהגות מבנה מתקרות שטוחות ברעידות אדמה.conllu,27890.0
מודלים לחיזוי התנהגות לא אלסטית של מבנים לרעידות אדמה,244 מודלים לחיזוי התנהגות לא אלסטית של מבנים לרעידות אדמה,txt\__parsed__\244 מודלים לחיזוי התנהגות לא אלסטית של מבנים לרעידות אדמה.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\244 מודלים לחיזוי התנהגות לא אלסטית של מבנים לרעידות אדמה.conllu,12334.0
פיתוח מערכות פנל מרוכבות מפח-בטון כמעטפת ממוגנת,245 פיתוח מערכות פנל מרוכבות מפח-בטון כמעטפת ממוגנת,txt\__parsed__\245 פיתוח מערכות פנל מרוכבות מפח-בטון כמעטפת ממוגנת.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\245 פיתוח מערכות פנל מרוכבות מפח-בטון כמעטפת ממוגנת.conllu,3099.0
רצפה צפה עם מדה דקה תכונות אקוסטיות ומכניות,248 רצפה צפה עם מדה דקה תכונות אקוסטיות ומכניות,txt\__parsed__\248 רצפה צפה עם מדה דקה תכונות אקוסטיות ומכניות.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\248 רצפה צפה עם מדה דקה תכונות אקוסטיות ומכניות.conllu,4718.0
מדריך לחישוב שילובי העומסים לפי תי 412 החדש,249 מדריך לחישוב שילובי העומסים לפי תי 412 החדש,txt\__parsed__\249 מדריך לחישוב שילובי העומסים לפי תי 412 החדש.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\249 מדריך לחישוב שילובי העומסים לפי תי 412 החדש.conllu,3587.0
מערכת אוטומטית של מבנים גבוהים,251 מערכת אוטומטית של מבנים גבוהים,txt\__parsed__\251 מערכת אוטומטית של מבנים גבוהים.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\251 מערכת אוטומטית של מבנים גבוהים.conllu,49491.0
תכנון וביצוע פרוייקטי בנייה בעזרת מחשב(תיבמ) מערכת לתכנון וייצור ברזל זיון,252 תכנון וביצוע פרוייקטי בנייה בעזרת מחשב(תיבמ) מערכת לתכנון וייצור ברזל זיון,txt\__parsed__\252 תכנון וביצוע פרוייקטי בנייה בעזרת מחשב(תיבמ) מערכת לתכנון וייצור ברזל זיון.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\252 תכנון וביצוע פרוייקטי בנייה בעזרת מחשב(תיבמ) מערכת לתכנון וייצור ברזל זיון.conllu,14592.0
פיתוח מערכת מומחה לתכן טפסות המבוססות על מגדלי תמיכה שלב א' ניתוח מבנים ופתרונות ורכישת ידע,260 פיתוח מערכת מומחה לתכן טפסות המבוססות על מגדלי תמיכה שלב א' ניתוח מבנים ופתרונות ורכישת ידע,txt\__parsed__\260 פיתוח מערכת מומחה לתכן טפסות המבוססות על מגדלי תמיכה שלב א' ניתוח מבנים ופתרונות ורכישת ידע.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\260 פיתוח מערכת מומחה לתכן טפסות המבוססות על מגדלי תמיכה שלב א' ניתוח מבנים ופתרונות ורכישת ידע.conllu,9625.0
מתרסים אקוסטיים להגנה בפני רעש תחבורה,263 מתרסים אקוסטיים להגנה בפני רעש תחבורה,txt\__parsed__\263 מתרסים אקוסטיים להגנה בפני רעש תחבורה.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\263 מתרסים אקוסטיים להגנה בפני רעש תחבורה.conllu,7781.0
מחקר בנושא של סביבת ידע ממוחשבת- ספריות ממוחשבות של ידע טכנולוגי בבנייה,264 מחקר בנושא של סביבת ידע ממוחשבת- ספריות ממוחשבות של ידע טכנולוגי בבנייה,txt\__parsed__\264 מחקר בנושא של סביבת ידע ממוחשבת- ספריות ממוחשבות של ידע טכנולוגי בבנייה.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\264 מחקר בנושא של סביבת ידע ממוחשבת- ספריות ממוחשבות של ידע טכנולוגי בבנייה.conllu,15774.0
ניהול פרוייקטים בבנייה מנקודת מבטו של היזם - חלק א עקרונות וסיפורי הצלחה,265 ניהול פרוייקטים בבנייה מנקודת מבטו של היזם - חלק א עקרונות וסיפורי הצלחה,txt\__parsed__\265 ניהול פרוייקטים בבנייה מנקודת מבטו של היזם - חלק א עקרונות וסיפורי הצלחה.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\265 ניהול פרוייקטים בבנייה מנקודת מבטו של היזם - חלק א עקרונות וסיפורי הצלחה.conllu,16419.0
היבטים כלכליים של תכן רעידות אדמה בתנאים מקומיים חלק ב- דוח המחקר,276 היבטים כלכליים של תכן רעידות אדמה בתנאים מקומיים חלק ב- דוח המחקר,txt\__parsed__\276 היבטים כלכליים של תכן רעידות אדמה בתנאים מקומיים חלק ב- דוח המחקר.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\276 היבטים כלכליים של תכן רעידות אדמה בתנאים מקומיים חלק ב- דוח המחקר.conllu,36092.0
פיתוח מערכות פנל מרוכבות מפח-בטון כמעטפת ממוגנת- שלב ב',277 פיתוח מערכות פנל מרוכבות מפח-בטון כמעטפת ממוגנת- שלב ב',txt\__parsed__\277 פיתוח מערכות פנל מרוכבות מפח-בטון כמעטפת ממוגנת- שלב ב'.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\277 פיתוח מערכות פנל מרוכבות מפח-בטון כמעטפת ממוגנת- שלב ב'.conllu,6597.0
השוואת שיטות לחיפוי קירות חוץ בבנייה,278 השוואת שיטות לחיפוי קירות חוץ בבנייה,txt\__parsed__\278 השוואת שיטות לחיפוי קירות חוץ בבנייה.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\278 השוואת שיטות לחיפוי קירות חוץ בבנייה.conllu,26633.0
"מערכת לתכנון אריחים אוטומטי, להפקה אוטומטי של נתוני תכנון הביצוע ולביצוע באמצעות רובוט","279 מערכת לתכנון אריחים אוטומטי, להפקה אוטומטי של נתוני תכנון הביצוע ולביצוע באמצעות רובוט","txt\__parsed__\279 מערכת לתכנון אריחים אוטומטי, להפקה אוטומטי של נתוני תכנון הביצוע ולביצוע באמצעות רובוט.txt",,"X:\Data\Research Projects\corpus_architecture\processing\jsonl\279 מערכת לתכנון אריחים אוטומטי, להפקה אוטומטי של נתוני תכנון הביצוע ולביצוע באמצעות רובוט.conllu",9074.0
התנהגות קירות גזירה מבטון מזויין,280 התנהגות קירות גזירה מבטון מזויין,txt\__parsed__\280 התנהגות קירות גזירה מבטון מזויין.txt,,X:\Data\Research Projects\corpus_architecture\processing\jsonl\280 התנהגות קירות גזירה מבטון מזויין.conllu,4163.0
