id,text,upos,xpos,feats,head,deprel,span,lemma,expanded
"(26, 27)",הדרושה,,,,,,"(105, 111)",,"[{'id': 26, 'text': 'ה', 'upos': 'SCONJ', 'xpos': 'SCONJ', 'head': 27, 'deprel': 'mark', 'lemma': 'ה'}, {'id': 27, 'text': 'דרושה', 'upos': 'VERB', 'xpos': 'VERB', 'feats': 'Gender=Fem|HebBinyan=PAAL|Number=Sing|Person=1,2,3|VerbForm=Part|Voice=Act', 'head': 25, 'deprel': 'acl:relcl', 'lemma': 'דרש'}]"
28,להפריד,VERB,VERB,HebBinyan=HIFIL|VerbForm=Inf|Voice=Act,27.0,xcomp,"(112, 118)",הפריד,
29,בין,ADP,ADP,,31.0,case,"(119, 122)",בין,
"(30, 31)",החלקיקים,,,,,,"(123, 131)",,"[{'id': 30, 'text': 'ה', 'upos': 'DET', 'xpos': 'DET', 'feats': 'PronType=Art', 'head': 31, 'deprel': 'det:def', 'lemma': 'ה'}, {'id': 31, 'text': 'חלקיקים', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Masc|Number=Plur', 'head': 28, 'deprel': 'obl', 'lemma': 'חלקיק'}]"
"(32, 33)",בנפח,,,,,,"(132, 136)",,"[{'id': 32, 'text': 'ב', 'upos': 'ADP', 'xpos': 'ADP', 'head': 33, 'deprel': 'case', 'lemma': 'ב'}, {'id': 33, 'text': 'נפח', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Definite=Cons|Gender=Masc|Number=Sing', 'head': 28, 'deprel': 'obl', 'lemma': 'נפח'}]"
34,חומר,NOUN,NOUN,Gender=Masc|Number=Sing,33.0,compound:smixut,"(137, 141)",חומר,
35,אינפיניטסימלי,ADJ,ADJ,Gender=Masc|Number=Sing,34.0,amod,"(142, 155)",אינפיניטסימלי,
"(36, 37)",בדפורמציה,,,,,,"(156, 165)",,"[{'id': 36, 'text': 'ב', 'upos': 'ADP', 'xpos': 'ADP', 'head': 37, 'deprel': 'case', 'lemma': 'ב'}, {'id': 37, 'text': 'דפורמציה', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Fem|Number=Sing', 'head': 28, 'deprel': 'obl', 'lemma': 'דפורמציה'}]"
1,גורמים,NOUN,NOUN,Gender=Masc|Number=Plur,11.0,nsubj,"(1, 7)",גורם,
"(2, 3)",המגבילים,,,,,,"(8, 16)",,"[{'id': 2, 'text': 'ה', 'upos': 'SCONJ', 'xpos': 'SCONJ', 'head': 3, 'deprel': 'mark', 'lemma': 'ה'}, {'id': 3, 'text': 'מגבילים', 'upos': 'VERB', 'xpos': 'VERB', 'feats': 'Gender=Masc|HebBinyan=PIEL|Number=Plur|Person=1,2,3|VerbForm=Part|Voice=Act', 'head': 1, 'deprel': 'acl:relcl', 'lemma': 'הגביל'}]"
4,את,ADP,ADP,Case=Acc,6.0,case:acc,"(17, 19)",את,
"(5, 6)",האנרגיה,,,,,,"(20, 27)",,"[{'id': 5, 'text': 'ה', 'upos': 'DET', 'xpos': 'DET', 'feats': 'PronType=Art', 'head': 6, 'deprel': 'det:def', 'lemma': 'ה'}, {'id': 6, 'text': 'אנרגיה', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Fem|Number=Sing', 'head': 3, 'deprel': 'obj', 'lemma': 'אנרגיה'}]"
7,(,PUNCT,PUNCT,,8.0,punct,"(28, 29)",(,
8,מגבילי,NOUN,NOUN,Definite=Cons|Gender=Masc|Number=Plur,1.0,appos,"(29, 35)",מגביל,
9,אנרגיה,NOUN,NOUN,Gender=Fem|Number=Sing,8.0,compound:smixut,"(36, 42)",אנרגיה,
10,),PUNCT,PUNCT,,8.0,punct,"(42, 43)",),
11,שולטים,VERB,VERB,"Gender=Masc|HebBinyan=PAAL|Number=Plur|Person=1,2,3|VerbForm=Part|Voice=Act",0.0,root,"(44, 50)",שלט,
12,על,ADP,ADP,,13.0,case,"(51, 53)",על,
13,התרככות,NOUN,NOUN,Gender=Fem|Number=Sing,11.0,obl,"(54, 61)",התרככות,
14,(,PUNCT,PUNCT,,15.0,punct,"(62, 63)",(,
15,softening,NOUN,NOUN,,13.0,appos,"(63, 72)",softening,
16,),PUNCT,PUNCT,,15.0,punct,"(72, 73)",),
"(17, 18)",החומר,,,,,,"(74, 79)",,"[{'id': 17, 'text': 'ה', 'upos': 'DET', 'xpos': 'DET', 'feats': 'PronType=Art', 'head': 18, 'deprel': 'det:def', 'lemma': 'ה'}, {'id': 18, 'text': 'חומר', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Masc|Number=Sing', 'head': 13, 'deprel': 'nmod', 'lemma': 'חומר'}]"
19,אשר,SCONJ,SCONJ,,20.0,mark,"(80, 83)",אשר,
20,מצביעה,VERB,VERB,"Gender=Fem|HebBinyan=HIFIL|Number=Sing|Person=1,2,3|VerbForm=Part|Voice=Act",18.0,acl:relcl,"(84, 90)",הצביע,
21,על,ADP,ADP,,22.0,case,"(91, 93)",על,
22,כשל,NOUN,NOUN,Gender=Masc|Number=Sing,20.0,obl,"(94, 97)",כשל,
1,כלומר,ADV,ADV,,11.0,advmod,"(1, 6)",כלומר,
2,באמצעות,ADP,ADP,,4.0,case,"(7, 14)",באמצעות,
"(3, 4)",הגבלה,,,,,,"(15, 20)",,"[{'id': 3, 'text': 'ה', 'upos': 'DET', 'xpos': 'DET', 'feats': 'PronType=Art', 'head': 4, 'deprel': 'det:def', 'lemma': 'ה'}, {'id': 4, 'text': 'גבלה', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Fem|Number=Sing', 'head': 11, 'deprel': 'obl', 'lemma': 'גבלה'}]"
5,של,ADP,ADP,Case=Gen,6.0,case:gen,"(21, 23)",של,
6,צפיפות,NOUN,NOUN,Definite=Cons|Gender=Fem|Number=Sing,4.0,nmod:poss,"(24, 30)",צפיפות,
"(7, 8)",האנרגיה,,,,,,"(31, 38)",,"[{'id': 7, 'text': 'ה', 'upos': 'DET', 'xpos': 'DET', 'feats': 'PronType=Art', 'head': 8, 'deprel': 'det:def', 'lemma': 'ה'}, {'id': 8, 'text': 'אנרגיה', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Fem|Number=Sing', 'head': 6, 'deprel': 'compound:smixut', 'lemma': 'אנרגיה'}]"
"(9, 10)",המאוגרת,,,,,,"(39, 46)",,"[{'id': 9, 'text': 'ה', 'upos': 'DET', 'xpos': 'DET', 'feats': 'PronType=Art', 'head': 10, 'deprel': 'det:def', 'lemma': 'ה'}, {'id': 10, 'text': 'מאוגרת', 'upos': 'ADJ', 'xpos': 'ADJ', 'feats': 'Gender=Fem|Number=Sing', 'head': 8, 'deprel': 'amod', 'lemma': 'מאוגר'}]"
11,אפשר,AUX,AUX,VerbType=Mod,12.0,aux,"(47, 51)",אפשר,
12,להציג,VERB,VERB,HebBinyan=HIFIL|VerbForm=Inf|Voice=Act,0.0,root,"(52, 57)",הציג,
13,תאור כשל,NOUN,NOUN,Definite=Cons|Gender=Masc|Number=Sing,12.0,obj,"(58, 66)",תאור כשל,
"(14, 15)",החומר,,,,,,"(67, 72)",,"[{'id': 14, 'text': 'ה', 'upos': 'DET', 'xpos': 'DET', 'feats': 'PronType=Art', 'head': 15, 'deprel': 'det:def', 'lemma': 'ה'}, {'id': 15, 'text': 'חומר', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Masc|Number=Sing', 'head': 13, 'deprel': 'compound:smixut', 'lemma': 'חומר'}]"
16,בתוך,ADP,ADP,,17.0,case,"(73, 77)",בתוך,
17,מודל,NOUN,NOUN,Gender=Masc|Number=Sing,13.0,nmod,"(78, 82)",מודל,
"(18, 19)",הקונסטיטוטיבי,,,,,,"(83, 96)",,"[{'id': 18, 'text': 'ה', 'upos': 'DET', 'xpos': 'DET', 'feats': 'PronType=Art', 'head': 19, 'deprel': 'det:def', 'lemma': 'ה'}, {'id': 19, 'text': 'קונסטיטוטיבי', 'upos': 'ADJ', 'xpos': 'ADJ', 'head': 17, 'deprel': 'amod', 'lemma': 'קונסטיטוטיבי'}]"
20,של,ADP,ADP,Case=Gen,22.0,case:gen,"(97, 99)",של,
"(21, 22)",החומר,,,,,,"(100, 105)",,"[{'id': 21, 'text': 'ה', 'upos': 'DET', 'xpos': 'DET', 'feats': 'PronType=Art', 'head': 22, 'deprel': 'det:def', 'lemma': 'ה'}, {'id': 22, 'text': 'חומר', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Masc|Number=Sing', 'head': 17, 'deprel': 'nmod', 'lemma': 'חומר'}]"
1,אנרגית,NOUN,NOUN,Definite=Cons|Gender=Fem|Number=Sing,6.0,nsubj,"(1, 7)",אנרגית,
"(2, 3)",הקשר,,,,,,"(8, 12)",,"[{'id': 2, 'text': 'ה', 'upos': 'DET', 'xpos': 'DET', 'feats': 'PronType=Art', 'head': 3, 'deprel': 'det:def', 'lemma': 'ה'}, {'id': 3, 'text': 'קשר', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Masc|Number=Sing', 'head': 1, 'deprel': 'compound:smixut', 'lemma': 'קשר'}]"
"(4, 5)",הממוצעת,,,,,,"(13, 20)",,"[{'id': 4, 'text': 'ה', 'upos': 'DET', 'xpos': 'DET', 'feats': 'PronType=Art', 'head': 5, 'deprel': 'det:def', 'lemma': 'ה'}, {'id': 5, 'text': 'ממוצעת', 'upos': 'ADJ', 'xpos': 'ADJ', 'feats': 'Gender=Fem|Number=Sing', 'head': 1, 'deprel': 'amod', 'lemma': 'ממוצע'}]"
6,ניתנת,AUX,AUX,"Gender=Fem|HebBinyan=NIFAL|Number=Sing|Person=1,2,3|VerbForm=Part|Voice=Mid",0.0,root,"(21, 26)",ניתן,
"(7, 8)",לחישוב,,,,,,"(27, 33)",,"[{'id': 7, 'text': 'ל', 'upos': 'ADP', 'xpos': 'ADP', 'head': 8, 'deprel': 'case', 'lemma': 'ל'}, {'id': 8, 'text': 'חישוב', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Masc|Number=Sing', 'head': 6, 'deprel': 'obl', 'lemma': 'חישוב'}]"
"(9, 10)",במידה,,,,,,"(34, 39)",,"[{'id': 9, 'text': 'ב', 'upos': 'ADP', 'xpos': 'ADP', 'head': 10, 'deprel': 'case', 'lemma': 'ב'}, {'id': 10, 'text': 'מידה', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Fem|Number=Sing', 'head': 6, 'deprel': 'obl', 'lemma': 'מידה'}]"
"(11, 13)",וההתפלגות,,,,,,"(40, 49)",,"[{'id': 11, 'text': 'ו', 'upos': 'CCONJ', 'xpos': 'CCONJ', 'head': 20, 'deprel': 'cc', 'lemma': 'ו'}, {'id': 12, 'text': 'ה', 'upos': 'DET', 'xpos': 'DET', 'feats': 'PronType=Art', 'head': 13, 'deprel': 'det:def', 'lemma': 'ה'}, {'id': 13, 'text': 'התפלגות', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Fem|Number=Sing', 'head': 20, 'deprel': 'nsubj', 'lemma': 'התפלגות'}]"
"(14, 15)",הסטטיסטית,,,,,,"(50, 59)",,"[{'id': 14, 'text': 'ה', 'upos': 'DET', 'xpos': 'DET', 'feats': 'PronType=Art', 'head': 15, 'deprel': 'det:def', 'lemma': 'ה'}, {'id': 15, 'text': 'סטטיסטית', 'upos': 'ADJ', 'xpos': 'ADJ', 'feats': 'Gender=Fem|Number=Sing', 'head': 13, 'deprel': 'amod', 'lemma': 'סטטיסטי'}]"
16,של,ADP,ADP,Case=Gen,17.0,case:gen,"(60, 62)",של,
17,צפיפות,NOUN,NOUN,Definite=Cons|Gender=Fem|Number=Sing,13.0,nmod,"(63, 69)",צפיפות,
"(18, 19)",הקשרים,,,,,,"(70, 76)",,"[{'id': 18, 'text': 'ה', 'upos': 'DET', 'xpos': 'DET', 'feats': 'PronType=Art', 'head': 19, 'deprel': 'det:def', 'lemma': 'ה'}, {'id': 19, 'text': 'קשרים', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Masc|Number=Plur', 'head': 17, 'deprel': 'compound:smixut', 'lemma': 'קשר'}]"
20,ידועה,VERB,VERB,"Gender=Fem|HebBinyan=PAAL|Number=Sing|Person=1,2,3|VerbForm=Part|Voice=Act",6.0,conj,"(77, 82)",ידע,
21,עבור,ADP,ADP,,23.0,case,"(83, 87)",עבור,
"(22, 23)",החומר,,,,,,"(88, 93)",,"[{'id': 22, 'text': 'ה', 'upos': 'DET', 'xpos': 'DET', 'feats': 'PronType=Art', 'head': 23, 'deprel': 'det:def', 'lemma': 'ה'}, {'id': 23, 'text': 'חומר', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Masc|Number=Sing', 'head': 20, 'deprel': 'obl', 'lemma': 'חומר'}]"
"(24, 25)",הספציפי,,,,,,"(94, 101)",,"[{'id': 24, 'text': 'ה', 'upos': 'DET', 'xpos': 'DET', 'feats': 'PronType=Art', 'head': 25, 'deprel': 'det:def', 'lemma': 'ה'}, {'id': 25, 'text': 'ספציפי', 'upos': 'ADJ', 'xpos': 'ADJ', 'feats': 'Gender=Masc|Number=Sing', 'head': 23, 'deprel': 'amod', 'lemma': 'ספציפי'}]"
1,לחילופין,ADV,ADV,,3.0,advmod,"(1, 9)",לחלופין,
2,",",PUNCT,PUNCT,,3.0,punct,"(9, 10)",",",
3,ניתן,AUX,AUX,"Gender=Masc|Number=Sing|Person=1,2,3|VerbType=Mod",4.0,aux,"(11, 15)",ניתן,
4,לכייל,VERB,VERB,HebBinyan=PIEL|VerbForm=Inf|Voice=Act,0.0,root,"(16, 21)",כייל,
5,את,ADP,ADP,Case=Acc,6.0,case:acc,"(22, 24)",את,
6,מגבילי,NOUN,NOUN,Definite=Cons|Gender=Masc|Number=Plur,4.0,obj,"(25, 31)",מגביל,
7,אנרגיה,NOUN,NOUN,Gender=Fem|Number=Sing,6.0,compound:smixut,"(32, 38)",אנרגיה,
8,(,PUNCT,PUNCT,,9.0,punct,"(39, 40)",(,
9,אנרגית,NOUN,NOUN,Definite=Cons|Gender=Fem|Number=Sing,6.0,appos,"(40, 46)",אנרגית,
"(10, 11)",הכשל,,,,,,"(47, 51)",,"[{'id': 10, 'text': 'ה', 'upos': 'DET', 'xpos': 'DET', 'feats': 'PronType=Art', 'head': 11, 'deprel': 'det:def', 'lemma': 'ה'}, {'id': 11, 'text': 'כשל', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Masc|Number=Sing', 'head': 9, 'deprel': 'compound:smixut', 'lemma': 'כשל'}]"
12,),PUNCT,PUNCT,,9.0,punct,"(51, 52)",),
"(13, 14)",מניסויים,,,,,,"(53, 61)",,"[{'id': 13, 'text': 'מ', 'upos': 'ADP', 'xpos': 'ADP', 'head': 14, 'deprel': 'case', 'lemma': 'מ'}, {'id': 14, 'text': 'ניסויים', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Masc|Number=Plur', 'head': 4, 'deprel': 'obl', 'lemma': 'ניסוי'}]"
15,מקרוסקופיים,ADJ,ADJ,,14.0,amod,"(62, 73)",מקרוסקופי,
1,מודלים,NOUN,NOUN,Gender=Masc|Number=Plur,6.0,nsubj,"(1, 7)",מודל,
2,קונסטיטוטיביים,ADJ,ADJ,Gender=Masc|Number=Plur,1.0,amod,"(8, 22)",קונסטיטוטיים,
3,היפראלסטיים,ADJ,ADJ,Gender=Masc|Number=Plur,1.0,amod,"(23, 34)",היפראלסטי,
4,מקובלים,ADJ,ADJ,Gender=Masc|Number=Plur,1.0,amod,"(35, 42)",מקובל,
5,אינם,AUX,AUX,Gender=Masc|Number=Plur|Person=3|Polarity=Neg|VerbForm=Part|VerbType=Cop,6.0,advmod,"(43, 47)",אינו,
6,משלבים,VERB,VERB,"Gender=Masc|HebBinyan=PIEL|Number=Plur|Person=1,2,3|VerbForm=Part|Voice=Act",0.0,root,"(48, 54)",שילב,
"(7, 8)",בתוכם,,,,,,"(55, 60)",,"[{'id': 7, 'text': 'ב', 'upos': 'ADP', 'xpos': 'ADP', 'head': 8, 'deprel': 'case', 'lemma': 'ב'}, {'id': 8, 'text': 'תוכם', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Masc|Number=Sing', 'head': 6, 'deprel': 'obl', 'lemma': 'תוכם'}]"
9,מגבילי,NOUN,NOUN,Definite=Cons|Gender=Masc|Number=Plur,6.0,obj,"(61, 67)",מגביל,
10,אנרגיה,NOUN,NOUN,Gender=Fem|Number=Sing,9.0,compound:smixut,"(68, 74)",אנרגיה,
11,",",PUNCT,PUNCT,,6.0,punct,"(74, 75)",",",
"(12, 14)",וכתוצאה,,,,,,"(76, 83)",,"[{'id': 12, 'text': 'ו', 'upos': 'CCONJ', 'xpos': 'CCONJ', 'head': 17, 'deprel': 'cc', 'lemma': 'ו'}, {'id': 13, 'text': 'כ', 'upos': 'ADP', 'xpos': 'ADP', 'head': 14, 'deprel': 'case', 'lemma': 'כ'}, {'id': 14, 'text': 'תוצאה', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Fem|Number=Sing', 'head': 17, 'deprel': 'obl', 'lemma': 'תוצאה'}]"
"(15, 16)",מכך,,,,,,"(84, 87)",,"[{'id': 15, 'text': 'מ', 'upos': 'ADP', 'xpos': 'ADP', 'head': 16, 'deprel': 'case', 'lemma': 'מ'}, {'id': 16, 'text': 'כך', 'upos': 'PRON', 'xpos': 'PRON', 'feats': 'Person=3|PronType=Dem', 'head': 14, 'deprel': 'nmod', 'lemma': 'כך'}]"
